"","t","scenario","function.int","Population","N"
"506",18,"high",2,"Nj",123.201981757382
"507",19,"high",2,"Ni",1.62737290741933
"508",19,"high",2,"Nj",31.8856538084991
"509",20,"high",2,"Ni",5.73134044600729
"510",20,"high",2,"Nj",122.239514433465
"511",21,"high",2,"Ni",1.55053577078677
"512",21,"high",2,"Nj",32.1083179144824
"513",22,"high",2,"Ni",5.53479798193386
"514",22,"high",2,"Nj",121.523440816312
"515",23,"high",2,"Ni",1.4976962677763
"516",23,"high",2,"Nj",32.2761530504807
"517",24,"high",2,"Ni",5.39078633852699
"518",24,"high",2,"Nj",121.012888652507
"519",25,"high",2,"Ni",1.45898706549028
"520",25,"high",2,"Nj",32.3944168449166
"521",0,"high",3,"Ni",140.248566152459
"522",0,"high",3,"Nj",1.75948643039107
"523",1,"high",3,"Ni",37.8671245055382
"524",1,"high",3,"Nj",0.269713459880186
"525",2,"high",3,"Ni",21.5574197030763
"526",2,"high",3,"Nj",0.371055556721197
"527",3,"high",3,"Ni",118.147868499012
"528",3,"high",3,"Nj",2.45674242964001
"529",4,"high",3,"Ni",31.9004600353843
"530",4,"high",3,"Nj",0.470086149361971
"531",5,"high",3,"Ni",44.2353625218521
"532",5,"high",3,"Nj",1.68920363542533
"533",6,"high",3,"Ni",37.1998952474716
"534",6,"high",3,"Nj",18.798924322748
"535",7,"high",3,"Ni",26.6636030835967
"536",7,"high",3,"Nj",4.3246928283365
"537",8,"high",3,"Ni",519.838293009391
"538",8,"high",3,"Nj",682.710324458815
"539",9,"high",3,"Ni",140.356339112535
"540",9,"high",3,"Nj",102.406548668822
"541",10,"high",3,"Ni",37.8962476394557
"542",10,"high",3,"Nj",15.3609823057356
"543",11,"high",3,"Ni",27.6865042311163
"544",11,"high",3,"Nj",6.2269234960655
"545",12,"high",3,"Ni",333.880169804114
"546",12,"high",3,"Nj",483.680627461845
"547",13,"high",3,"Ni",90.1476458471113
"548",13,"high",3,"Nj",72.5520941192767
"549",14,"high",3,"Ni",24.3730276272482
"550",14,"high",3,"Nj",10.8828322814782
"551",15,"high",3,"Ni",183.161290111048
"552",15,"high",3,"Nj",79.7828555727258
"553",16,"high",3,"Ni",49.4535483494075
"554",16,"high",3,"Nj",11.967428338493
"555",17,"high",3,"Ni",18.214663004977
"556",17,"high",3,"Nj",7.37322364947189
"557",18,"high",3,"Ni",781.86560759743
"558",18,"high",3,"Nj",702.180304376142
"559",19,"high",3,"Ni",211.103714051306
"560",19,"high",3,"Nj",105.327045656421
"561",20,"high",3,"Ni",56.9980027943808
"562",20,"high",3,"Nj",15.799056848472
"563",21,"high",3,"Ni",16.4916660760108
"564",21,"high",3,"Nj",3.03266694327451
"565",22,"high",3,"Ni",1608.42239403483
"566",22,"high",3,"Nj",997.677774469074
"567",23,"high",3,"Ni",434.274046389403
"568",23,"high",3,"Nj",149.651666170361
"569",24,"high",3,"Ni",117.253992525139
"570",24,"high",3,"Nj",22.4477499255542
"571",25,"high",3,"Ni",31.6586762869242
"572",25,"high",3,"Nj",3.36788350440096
"573",0,"high",4,"Ni",140.248566152459
"574",0,"high",4,"Nj",1.75948643039107
"575",1,"high",4,"Ni",37.8671470482093
"576",1,"high",4,"Nj",0.264166098447297
"577",2,"high",4,"Ni",24.353020241352
"578",2,"high",4,"Nj",0.160909205519193
"579",3,"high",4,"Ni",67.8535310449199
"580",3,"high",4,"Nj",0.248974122433052
"581",4,"high",4,"Ni",18.6604436492931
"582",4,"high",4,"Nj",0.045850968747102
"583",5,"high",4,"Ni",107.664158595378
"584",5,"high",4,"Nj",0.105424014626702
"585",6,"high",4,"Ni",29.0710218664312
"586",6,"high",4,"Nj",0.0159207544959072
"587",7,"high",4,"Ni",43.3792131979787
"588",7,"high",4,"Nj",0.0160890972304075
"589",8,"high",4,"Ni",18.5074930381634
"590",8,"high",4,"Nj",0.00643665572574427
"591",9,"high",4,"Ni",107.78527266819
"592",9,"high",4,"Nj",0.0146913297791367
"593",10,"high",4,"Ni",29.1036491484054
"594",10,"high",4,"Nj",0.00221777832098831
"595",11,"high",4,"Ni",43.1124092025129
"596",11,"high",4,"Nj",0.00222194656332123
"597",12,"high",4,"Ni",18.6274650900324
