"","Time","Seeds i","Plants i","Biomass i","Seeds j","Plants j","Biomass j"
"",8.8785,58092.0006957359,51.0562457835574,124.568864118479,141195.351060982,124.094616486403,237.913598681148
"",8.879,58089.067123774,51.0827375759104,124.584548508243,141194.927475564,124.164903731636,237.92532882782
"",8.8795,58086.1336999539,51.1092265769947,124.600180252924,141194.503891417,124.23519058936,237.936995694765
"",8.88,58083.2004242679,51.1357127870239,124.615759544557,141194.080308541,124.305477059575,237.948599601824
"",8.8805,58080.2672967085,51.1621962062115,124.631286574462,141193.656726935,124.375763142284,237.960140867323
"",8.881,58077.3343172684,51.1886768347712,124.646761533246,141193.2331466,124.446048837487,237.971619808079
"",8.8815,58074.40148594,51.2151546729165,124.662184610808,141192.809567536,124.516334145187,237.983036739404
"",8.882,58071.4688027158,51.241629720861,124.67755599634,141192.385989743,124.586619065384,237.994391975115
"",8.8825,58068.5362675884,51.2681019788183,124.692875878328,141191.96241322,124.656903598082,238.00568582754
"",8.883,58065.6038805503,51.2945714470019,124.708144444556,141191.538837969,124.72718774328,238.016918607522
"",8.8835,58062.671641594,51.3210381256253,124.723361882106,141191.115263987,124.797471500981,238.028090624425
"",8.884,58059.739550712,51.3475020149021,124.738528377366,141190.691691277,124.867754871187,238.039202186145
"",8.8845,58056.8076078969,51.3739631150457,124.753644116023,141190.268119837,124.938037853899,238.050253599111
"",8.885,58053.8758131411,51.4004214262696,124.768709283074,141189.844549668,125.008320449118,238.061245168294
"",8.8855,58050.9441664373,51.4268769487874,124.783724062825,141189.42098077,125.078602656847,238.072177197212
"",8.886,58048.0126677778,51.4533296828123,124.798688638891,141188.997413142,125.148884477086,238.083049987936
"",8.8865,58045.0813171553,51.479779628558,124.813603194203,141188.573846785,125.219165909838,238.093863841098
"",8.887,58042.1501145623,51.5062267862378,124.828467911004,141188.150281699,125.289446955104,238.104619055897
"",8.8875,58039.2190599913,51.5326711560651,124.843282970859,141187.726717884,125.359727612885,238.115315930102
"",8.888,58036.2881534347,51.5591127382533,124.85804855465,141187.303155339,125.430007883184,238.125954760061
"",8.8885,58033.3573948853,51.5855515330159,124.872764842585,141186.879594065,125.500287766002,238.136535840707
"",8.889,58030.4267843354,51.611987540566,124.887432014192,141186.456034061,125.57056726134,238.147059465563
"",8.8895,58027.4963217776,51.6384207611172,124.902050248331,141186.032475329,125.6408463692,238.157525926749
"",8.89,58024.5660072044,51.6648511948828,124.916619723188,141185.608917867,125.711125089584,238.167935514987
"",8.8905,58021.6358406083,51.691278842076,124.931140616281,141185.185361675,125.781403422493,238.178288519608
